"","gene","O20_384Bulk_Plate2_S356.gencode.vM19","P11_384Bulk_Plate2_S371.gencode.vM19","K9_384Bulk_Plate2_S249.gencode.vM19","I13_384Bulk_Plate2_S205.gencode.vM19","F11_384Bulk_Plate1_S131.gencode.vM19","G3_384Bulk_Plate1_S147.gencode.vM19","G8_384Bulk_Plate2_S152.gencode.vM19","C19_384Bulk_Plate2_S67.gencode.vM19"
"43228","Obsl1",1080,749,689,871,604,642,617,426
"43229","Oc90",11,3,9,9,30,37,25,6
"43230","Oca2",4,14,17,20,18,36,30,4
"43231","Ocel1",167,126,143,174,149,132,144,123
"43232","Ociad1",1743,1590,1421,1840,1414,1237,1561,1140
"43233","Ociad2",80,57,52,85,100,50,89,60
"43234","Ocln",17,31,25,23,42,23,23,19
"43235","Ocm",3,2,5,4,4,4,0,0
"43236","Ocrl",243,193,161,232,174,189,189,179
"43237","Ocstamp",1,7,3,1,5,2,3,0
"43238","Odam",10,12,10,23,16,10,11,2
"43239","Odaph",2,4,8,2,14,8,19,1
"43240","Odc1",788,700,529,783,648,423,806,542
"43241","Odf1",0,0,0,1,5,3,0,4
"43242","Odf2",295,305,241,353,275,242,282,209
"43243","Odf2l",100,68,112,108,105,131,117,62
"43244","Odf3",2,4,5,9,12,8,0,3
"43245","Odf3b",9,5,14,19,16,9,12,4
"43246","Odf3l1",6,6,4,4,4,3,7,4
"43247","Odf3l2",3,2,1,0,7,9,1,0
"43248","Odf4",0,1,1,0,9,3,0,0
"43249","Odr4",303,299,235,339,317,246,331,221
"43250","Ofcc1",7,10,13,32,21,24,25,4
"43251","Ofd1",82,84,101,98,76,70,88,55
"43252","Ogdh",46166,48791,37833,50090,36713,27504,38495,26493
"43253","Ogdhl",765,668,435,674,478,412,423,527
"43254","Ogfod1",341,366,371,402,262,337,424,244
"43255","Ogfod2",174,223,131,174,163,113,164,118
"43256","Ogfod3",163,183,124,210,152,127,148,103
"43257","Ogfr",440,301,277,311,328,347,408,216
"43258","Ogfrl1",361,328,306,385,292,328,275,192
"43259","Ogg1",36,73,55,65,64,45,57,36
"43260","Ogn",1147,998,917,1299,742,932,865,544
"43261","Ogt",1277,1194,1143,1515,1329,1304,1258,825
"43262","Oip5",4,11,7,7,13,8,14,0
"43263","Oit1",1,5,7,4,12,5,15,1
"43264","Oit3",11,2,11,3,7,18,8,1
"43265","Ola1",417,318,310,409,254,246,339,198
"43266","Olah",8,8,11,6,17,12,8,4
"43267","Olfm1",100,133,92,182,95,90,117,125
"43268","Olfm2",7,2,5,6,14,8,13,2
"43269","Olfm3",18,8,15,17,18,14,12,2
"43270","Olfm4",2,6,14,7,16,21,4,2
"43271","Olfm5",9,10,11,4,15,10,9,2
"43272","Olfml1",57,73,52,85,86,60,77,56
"43273","Olfml2a",169,175,132,203,167,147,139,83
"43274","Olfml2b",242,335,266,371,320,345,464,342
"43275","Olfml3",339,287,254,317,311,225,382,266
"43276","Olfr1",12,7,9,11,13,23,11,14
"43277","Olfr10",4,9,9,9,18,12,10,3
"43278","Olfr1000",3,1,17,7,15,24,8,9
"43279","Olfr1001-ps1",5,7,4,3,9,7,6,1
"43280","Olfr1002",12,1,9,0,15,12,0,0
"43281","Olfr1003-ps1",11,5,12,4,3,8,13,2
"43282","Olfr1004-ps1",4,2,4,1,7,6,2,0
"43283","Olfr1005-ps1",0,1,13,5,11,4,0,0
"43284","Olfr1006",1,0,5,3,9,6,3,3
"43285","Olfr1007-ps1",0,1,1,2,0,0,0,1
"43286","Olfr1008",15,1,12,9,7,8,4,0
"43287","Olfr1009",12,3,16,19,10,23,13,5
"43288","Olfr101",15,0,0,4,7,4,6,2
"43289","Olfr1010",10,12,9,8,19,8,14,4
"43290","Olfr1012",16,17,25,20,37,18,15,2
"43291","Olfr1013",35,4,25,19,43,34,35,6
"43292","Olfr1014",5,10,26,16,23,13,3,1
"43293","Olfr1015",15,4,4,5,16,15,12,1
"43294","Olfr1016",5,21,24,16,23,14,14,7
"43295","Olfr1017-ps1",6,0,5,6,6,3,5,4
"43296","Olfr1018",6,9,16,20,18,14,15,8
"43297","Olfr1019",5,1,15,6,11,13,6,2
"43298","Olfr102",12,3,12,5,17,12,13,3
"43299","Olfr1020",22,1,14,15,14,13,24,5
"43300","Olfr1021-ps1",8,0,4,3,3,5,0,2
"43301","Olfr1022",4,1,9,1,16,12,3,3
"43302","Olfr1023",5,9,4,15,7,4,2,1
"43303","Olfr1024",3,3,3,1,2,1,0,0
"43304","Olfr1025-ps1",7,9,37,8,35,21,35,6
"43305","Olfr1026",3,1,1,10,5,8,4,2
"43306","Olfr1027-ps1",0,0,3,2,2,9,1,0
"43307","Olfr1028",14,4,15,7,7,21,10,0
"43308","Olfr1029",31,18,30,14,24,10,8,3
"43309","Olfr103",7,5,3,5,13,6,6,0
"43310","Olfr1030",26,14,107,43,53,43,51,10
"43311","Olfr1031",9,6,6,6,11,1,6,1
"43312","Olfr1032",2,1,8,4,12,19,3,2
"43313","Olfr1033",503,130,173,270,177,148,137,182
"43314","Olfr1034",40,2,29,30,17,22,12,9
"43315","Olfr1035-ps1",8,3,11,7,11,3,4,6
"43316","Olfr1036",19,7,21,8,13,7,11,5
"43317","Olfr1037",14,8,14,13,3,10,5,2
"43318","Olfr1038-ps",15,13,23,29,18,17,14,3
"43319","Olfr1039",12,5,16,4,5,27,12,5
"43320","Olfr104-ps",11,6,21,15,23,23,13,0
"43321","Olfr1040",12,7,26,20,9,16,19,0
"43322","Olfr1041-ps1",0,0,4,0,2,0,0,0
"43323","Olfr1042",1,1,12,5,12,15,10,10
"43324","Olfr1043",13,1,23,28,9,11,10,4
"43325","Olfr1044",12,8,22,8,17,14,18,3
"43326","Olfr1045",7,11,16,10,17,17,5,13
"43327","Olfr1046",19,5,22,10,33,17,11,6
"43328","Olfr1047",9,10,16,9,20,22,4,3
"43329","Olfr1048",3,0,26,8,10,9,16,1
"43330","Olfr1049",2,1,3,8,10,12,2,0
"43331","Olfr105-ps",19,10,23,11,17,18,29,3
"43332","Olfr1050-ps1",15,3,19,4,11,13,5,10
"43333","Olfr1051",8,4,14,12,16,8,12,5
"43334","Olfr1052",14,0,15,14,18,29,9,3
"43335","Olfr1053",3,0,2,1,4,6,4,3
"43336","Olfr1054",2,3,7,2,8,12,1,1
"43337","Olfr1055",0,1,0,2,3,9,1,3
"43338","Olfr1056",4,9,9,8,12,15,16,9
"43339","Olfr1057",5,7,14,17,4,10,8,4
"43340","Olfr1058",21,3,24,8,16,6,13,4
"43341","Olfr1059-ps1",0,0,3,3,4,6,7,1
"43342","Olfr106-ps",7,4,11,4,11,15,1,0
"43343","Olfr1060-ps1",2,0,2,6,6,4,0,0
"43344","Olfr1061",6,5,14,7,24,5,4,0
"43345","Olfr1062",17,7,14,3,27,16,12,1
"43346","Olfr1063-ps1",0,0,7,2,16,5,3,4
"43347","Olfr1064-ps1",1,0,5,5,2,3,1,2
"43348","Olfr1065",9,12,14,11,15,22,11,1
"43349","Olfr1066",9,6,6,0,2,4,6,0
"43350","Olfr1069-ps1",1,3,11,8,0,2,10,1
"43351","Olfr107",9,6,17,11,14,20,17,5
"43352","Olfr1070-ps1",4,0,20,4,5,9,14,0
"43353","Olfr1073-ps1",12,5,5,3,4,5,2,0
"43354","Olfr1075-ps1",0,2,2,1,5,0,4,0
"43355","Olfr1076",3,5,8,4,16,8,9,7
"43356","Olfr1077-ps1",0,7,4,1,14,7,4,0
"43357","Olfr1078-ps1",2,0,5,2,3,3,2,0
"43358","Olfr1079",14,5,33,11,32,5,14,8
"43359","Olfr108",1,1,3,1,2,4,0,2
"43360","Olfr1080",5,0,16,5,26,6,14,0
"43361","Olfr1081-ps1",3,4,14,2,4,3,8,3
"43362","Olfr1082",24,4,12,5,12,8,9,0
"43363","Olfr1083-ps",0,3,2,6,4,0,3,0
"43364","Olfr1084",1,4,5,4,6,8,2,3
"43365","Olfr1085",6,6,11,22,32,10,14,11
"43366","Olfr1086",16,1,12,0,6,2,0,3
"43367","Olfr1087",3,10,15,14,56,19,19,10
"43368","Olfr1088-ps1",2,2,2,3,1,2,6,2
"43369","Olfr1089",10,1,4,4,8,12,6,3
"43370","Olfr109",9,5,24,3,14,6,12,3
"43371","Olfr1090",23,20,24,12,14,7,12,8
"43372","Olfr1091-ps1",2,2,8,5,11,4,4,0
"43373","Olfr1092-ps1",3,0,0,1,1,1,0,0
"43374","Olfr1093",1,4,9,12,14,13,4,2
"43375","Olfr1094",0,0,7,0,2,0,0,1
"43376","Olfr1095",11,0,4,5,13,4,10,0
"43377","Olfr1097",15,7,22,4,29,15,24,10
"43378","Olfr1098",4,1,26,5,28,12,18,3
"43379","Olfr1099",7,4,13,7,13,16,30,7
"43380","Olfr11",1,4,1,3,8,11,10,0
"43381","Olfr110",5,9,7,7,11,10,8,1
"43382","Olfr1100",5,9,3,11,8,9,13,3
"43383","Olfr1101",13,4,24,18,19,12,3,3
"43384","Olfr1102",1,3,12,2,13,7,12,2
"43385","Olfr1103-ps1",0,1,9,2,6,4,4,5
"43386","Olfr1104",2,2,10,2,3,7,5,1
"43387","Olfr1105",15,5,19,14,18,18,7,0
"43388","Olfr1106",13,12,8,6,19,22,4,4
"43389","Olfr1107",12,14,36,11,25,12,36,4
"43390","Olfr1108-ps1",4,1,0,0,0,5,1,1
"43391","Olfr1109",21,8,30,9,9,15,16,3
"43392","Olfr111",5,12,8,7,7,8,11,2
"43393","Olfr1110",4,10,21,39,20,28,13,11
"43394","Olfr1111",9,0,10,12,10,6,6,1
"43395","Olfr1112",7,2,15,5,15,23,7,1
"43396","Olfr1113",8,4,4,4,2,3,4,0
"43397","Olfr1114-ps1",2,1,5,10,0,4,4,0
"43398","Olfr1115",5,4,11,11,12,7,0,2
"43399","Olfr1116",32,18,65,28,48,40,40,5
"43400","Olfr1117-ps1",1,1,2,0,4,4,2,2
"43401","Olfr1118",1,10,12,12,10,9,13,4
"43402","Olfr1119-ps1",4,0,5,0,2,6,2,0
"43403","Olfr112",10,7,20,15,45,13,16,6
"43404","Olfr1120",3,3,14,12,29,10,23,7
"43405","Olfr1121",1,6,20,1,9,3,7,0
"43406","Olfr1122",16,5,22,13,41,22,20,3
"43407","Olfr1123",9,0,3,8,6,16,8,5
"43408","Olfr1124",15,7,20,9,31,20,7,3
"43409","Olfr1126",3,3,14,13,7,9,10,2
"43410","Olfr1127-ps1",1,3,5,2,3,2,3,1
"43411","Olfr1128",1,3,2,0,18,9,15,0
"43412","Olfr1129",1,1,6,0,5,7,9,0
"43413","Olfr113",5,4,4,1,9,11,3,2
"43414","Olfr1130",11,6,17,8,17,20,6,2
"43415","Olfr1131",28,5,18,5,15,14,21,4
"43416","Olfr1132",0,2,7,8,13,6,7,0
"43417","Olfr1133",8,0,4,3,7,6,3,4
"43418","Olfr1134",8,0,0,0,9,3,4,1
"43419","Olfr1135",12,4,16,6,8,17,18,6
"43420","Olfr1136",8,5,12,3,8,18,10,4
"43421","Olfr1137",6,5,13,5,13,13,11,7
"43422","Olfr1138",9,4,11,0,8,19,7,5
"43423","Olfr1139-ps1",1,0,2,0,1,3,0,0
"43424","Olfr114",0,0,7,3,0,6,11,1
"43425","Olfr1140",3,1,9,3,1,17,10,8
"43426","Olfr1141",2,1,9,8,11,4,1,2
"43427","Olfr1142-ps1",5,1,4,2,3,8,0,1
"43428","Olfr1143",2,4,6,3,19,17,15,1
"43429","Olfr1144-ps1",0,0,4,1,1,0,0,0
"43430","Olfr1145",2,0,4,11,6,6,5,0
"43431","Olfr1146-ps1",1,1,7,6,21,1,4,0
"43432","Olfr1147-ps1",6,0,6,4,4,11,4,4
"43433","Olfr1148",10,3,20,11,35,25,15,2
"43434","Olfr1149-ps1",15,3,7,5,10,9,1,0
"43435","Olfr115",6,2,6,11,12,11,3,3
"43436","Olfr1150-ps1",3,7,13,3,7,17,20,4
"43437","Olfr1151",6,4,11,2,14,10,10,5
"43438","Olfr1152",9,14,24,21,16,22,27,7
"43439","Olfr1153",11,1,7,9,13,25,8,4
"43440","Olfr1154",6,7,5,11,14,9,10,5
"43441","Olfr1155",1,7,15,9,14,6,7,0
"43442","Olfr1156",2,3,12,5,3,7,5,3
"43443","Olfr1157",21,9,24,7,19,18,18,6
"43444","Olfr1158",6,2,11,0,4,6,0,6
"43445","Olfr1159-ps1",5,6,10,5,9,3,10,2
"43446","Olfr116",7,8,20,19,28,13,12,1
"43447","Olfr1160",18,7,26,20,20,20,22,8
"43448","Olfr1161",21,9,27,21,22,18,16,5
"43449","Olfr1162",22,3,18,8,13,12,8,1
"43450","Olfr1163",6,1,7,7,5,9,10,4
"43451","Olfr1164",3,9,16,9,17,12,13,2
"43452","Olfr1165-ps",9,21,27,3,14,20,24,2
"43453","Olfr1166",0,0,7,2,2,3,9,6
"43454","Olfr1167",25,8,21,14,33,22,28,2
"43455","Olfr1168",15,6,25,12,12,9,22,8
"43456","Olfr1169-ps1",0,0,3,4,1,8,8,0
"43457","Olfr117",8,21,13,12,25,19,10,1
"43458","Olfr1170",5,10,30,8,40,29,16,8
"43459","Olfr1171-ps1",9,7,15,13,7,12,13,5
"43460","Olfr1172-ps1",0,2,9,0,0,2,1,0
"43461","Olfr1173",13,16,18,9,23,17,23,22
"43462","Olfr1174-ps",10,21,22,17,25,22,33,9
"43463","Olfr1175-ps",30,14,43,31,54,30,38,12
"43464","Olfr1176",23,14,21,11,20,23,3,1
"43465","Olfr1177-ps",5,5,10,0,13,17,6,1
"43466","Olfr1178",11,13,16,19,29,45,15,9
"43467","Olfr1179",7,3,3,3,5,7,5,0
"43468","Olfr118",17,10,24,25,29,34,30,5
"43469","Olfr1180",13,8,12,5,2,7,9,0
"43470","Olfr1181",23,32,28,25,39,24,17,5
"43471","Olfr1183",17,14,40,28,63,41,21,6
"43472","Olfr1184",20,8,33,19,19,19,24,14
"43473","Olfr1185-ps1",4,14,15,17,48,19,27,1
"43474","Olfr1186",1,12,25,10,24,10,10,7
"43475","Olfr1187-ps1",1,1,10,3,3,1,2,0
"43476","Olfr1188",17,5,19,20,20,16,18,5
"43477","Olfr1189",2,6,5,2,9,4,6,2
"43478","Olfr119",7,1,13,3,15,7,5,3
"43479","Olfr1191-ps1",19,9,14,7,20,12,9,3
"43480","Olfr1192-ps1",27,8,22,20,33,35,37,12
"43481","Olfr1193",11,6,7,4,25,14,12,5
"43482","Olfr1195",7,13,15,10,17,10,5,4
"43483","Olfr1196",14,7,30,1,16,16,14,3
"43484","Olfr1197",4,10,18,13,26,11,12,1
"43485","Olfr1198",19,0,28,9,16,18,7,5
"43486","Olfr1199",13,1,11,11,27,12,6,5
"43487","Olfr12",6,5,12,13,9,5,4,1
"43488","Olfr120",14,3,13,23,12,17,8,4
"43489","Olfr1200",19,20,48,34,21,45,29,15
"43490","Olfr1201",14,12,24,9,15,18,15,9
"43491","Olfr1202",3,5,14,6,18,18,10,3
"43492","Olfr1204",3,1,9,0,15,11,7,4
"43493","Olfr1205",25,28,31,15,22,39,16,14
"43494","Olfr1206",8,11,26,18,26,23,13,10
"43495","Olfr1208",5,14,24,4,27,22,14,6
"43496","Olfr1209",18,8,17,16,37,30,15,4
"43497","Olfr121",10,5,9,11,10,18,12,2
"43498","Olfr1211",13,6,25,11,18,11,17,6
"43499","Olfr1212",21,9,20,13,39,6,19,2
"43500","Olfr1214",12,1,13,10,11,6,11,2
"43501","Olfr1215",23,2,18,8,8,8,4,0
"43502","Olfr1216",9,16,18,21,29,21,28,2
"43503","Olfr1217",1,0,7,8,17,18,8,0
"43504","Olfr1218",5,5,12,26,23,21,12,11
"43505","Olfr1219",38,15,42,35,45,22,31,6
"43506","Olfr122",3,11,15,6,14,10,3,0
"43507","Olfr1220",12,1,10,9,10,11,4,1
"43508","Olfr1221",13,3,6,17,22,15,4,1
"43509","Olfr1222",29,4,36,7,24,22,20,5
"43510","Olfr1223",4,5,29,11,10,21,21,3
"43511","Olfr1224-ps1",13,11,8,4,26,16,10,6
"43512","Olfr1225",22,18,48,40,74,51,37,6
"43513","Olfr1226",24,7,56,22,84,39,32,8
"43514","Olfr1227-ps1",0,1,1,0,0,1,0,0
"43515","Olfr1228",14,16,21,4,15,30,23,5
"43516","Olfr1229",8,4,15,12,11,14,15,1
"43517","Olfr123",2,11,2,5,19,6,1,0
"43518","Olfr1230",5,5,7,2,4,5,8,0
"43519","Olfr1231",8,6,18,20,37,17,20,3
"43520","Olfr1232",11,3,7,16,15,10,10,8
"43521","Olfr1233",8,13,31,21,26,14,13,6
"43522","Olfr1234",18,5,14,2,8,18,9,0
"43523","Olfr1235-ps1",0,0,0,0,0,0,0,0
"43524","Olfr1238",15,16,22,26,7,33,8,8
"43525","Olfr1239",1,5,10,2,18,15,15,0
"43526","Olfr124",15,24,25,16,28,22,25,0
"43527","Olfr1240",12,14,24,9,21,13,16,14
"43528","Olfr1241",3,0,32,13,9,13,6,0
"43529","Olfr1242",6,4,11,7,35,19,11,4
"43530","Olfr1243",10,13,25,14,20,10,15,1
"43531","Olfr1244-ps1",5,2,9,1,3,6,8,0
"43532","Olfr1245",10,11,12,8,18,22,13,6
"43533","Olfr1246",13,7,21,12,15,7,22,7
"43534","Olfr1247",24,9,23,10,39,30,5,7
"43535","Olfr1248",6,3,3,2,15,9,9,4
"43536","Olfr1249",10,2,23,9,33,10,7,6
"43537","Olfr125",15,3,8,7,14,19,4,0
"43538","Olfr1250",8,1,16,6,22,5,10,0
"43539","Olfr1251",8,6,30,16,18,19,18,5
"43540","Olfr1252",6,1,21,16,8,21,10,8
"43541","Olfr1253",40,18,59,30,33,23,41,11
"43542","Olfr1254",16,12,26,5,27,28,16,13
"43543","Olfr1255",7,7,19,7,17,10,27,2
"43544","Olfr1256",21,10,19,22,53,26,19,1
"43545","Olfr1257",7,4,8,7,13,16,9,5
"43546","Olfr1258",35,12,62,25,70,37,40,27
"43547","Olfr1259",9,22,30,19,30,21,22,9
"43548","Olfr126",9,15,21,10,14,15,13,3
"43549","Olfr1260",1,1,7,2,17,18,10,0
"43550","Olfr1261",14,2,3,3,12,10,4,3
"43551","Olfr1262",22,8,27,28,27,23,9,0
"43552","Olfr1263",14,25,30,21,48,23,37,11
"43553","Olfr1264",29,6,20,2,35,26,21,10
"43554","Olfr1265",8,18,10,39,26,38,20,3
"43555","Olfr1266-ps1",0,2,3,0,2,4,7,0
"43556","Olfr1267-ps1",1,8,3,4,9,0,4,0
"43557","Olfr1268-ps1",12,8,9,0,8,4,5,0
"43558","Olfr1269",14,4,17,17,21,17,21,1
"43559","Olfr127",21,15,36,9,44,44,17,10
"43560","Olfr1270",28,18,9,13,19,13,21,11
"43561","Olfr1271",46,13,34,34,62,48,31,8
"43562","Olfr1272",1,7,2,3,5,3,9,0
"43563","Olfr1273-ps",4,1,21,6,27,20,12,9
"43564","Olfr1274-ps",3,16,6,8,19,14,3,2
"43565","Olfr1275",1,2,18,3,5,11,18,2
"43566","Olfr1276",8,15,16,7,15,11,6,5
"43567","Olfr1277",13,8,20,9,22,15,5,3
"43568","Olfr1278",2,11,16,21,19,19,11,2
"43569","Olfr1279",14,8,12,12,29,14,15,9
"43570","Olfr128",6,14,24,14,30,18,16,11
"43571","Olfr1280",27,13,43,26,44,27,24,20
"43572","Olfr1281",8,9,21,22,10,12,11,2
"43573","Olfr1282",4,2,2,0,7,4,1,0
"43574","Olfr1283",0,6,22,6,21,8,18,5
"43575","Olfr1284",11,6,8,3,6,7,1,2
"43576","Olfr1285",3,3,9,2,7,1,0,0
"43577","Olfr1286",11,3,12,0,3,10,11,1
"43578","Olfr1287",4,5,1,6,0,1,2,0
"43579","Olfr1288",1,4,12,9,3,2,0,0
"43580","Olfr1289",2,20,30,10,18,17,3,7
"43581","Olfr129",14,14,25,8,39,27,16,4
"43582","Olfr1290",6,12,9,12,20,12,14,1
"43583","Olfr1291-ps1",30,15,42,39,43,25,20,9
"43584","Olfr1292-ps1",4,0,5,2,6,3,6,1
"43585","Olfr1293-ps",10,4,15,13,17,23,16,7
"43586","Olfr1294",3,18,21,5,0,19,6,1
"43587","Olfr1295",9,14,21,4,28,14,10,10
"43588","Olfr1296-ps1",8,0,8,7,8,5,0,0
"43589","Olfr1297",15,15,36,40,28,30,19,3
"43590","Olfr1298",6,4,7,1,1,7,0,0
"43591","Olfr1299",0,7,6,1,4,3,7,0
"43592","Olfr13",17,4,18,10,22,15,20,3
"43593","Olfr130",24,3,19,10,37,26,13,4
"43594","Olfr1300-ps1",7,5,3,6,9,9,13,3
"43595","Olfr1301",9,19,33,21,37,20,14,4
"43596","Olfr1302",17,13,14,5,26,17,10,1
"43597","Olfr1303",8,2,29,12,17,27,16,8
"43598","Olfr1304-ps1",2,0,1,0,0,0,0,0
"43599","Olfr1305",3,2,1,4,9,13,7,6
"43600","Olfr1306",11,6,14,8,18,21,14,5
"43601","Olfr1307",20,17,37,11,61,38,36,7
"43602","Olfr1308",6,7,9,4,3,3,5,0
"43603","Olfr1309",27,6,26,27,22,32,17,10
"43604","Olfr131",10,11,14,16,20,4,6,1
"43605","Olfr1310",8,4,11,2,17,17,0,2
"43606","Olfr1311",10,2,11,4,11,15,7,0
"43607","Olfr1312",11,12,16,11,26,20,9,4
"43608","Olfr1313",15,11,22,10,9,13,6,5
"43609","Olfr1314",4,1,13,2,8,10,4,0
"43610","Olfr1315-ps1",0,3,5,0,4,1,8,3
"43611","Olfr1316",5,9,32,15,30,25,11,2
"43612","Olfr1317",4,3,5,3,15,9,11,0
"43613","Olfr1318",0,8,6,2,36,22,23,5
"43614","Olfr1319-ps1",0,0,0,0,4,0,0,1
"43615","Olfr132",24,11,16,7,16,6,4,1
"43616","Olfr1320",10,3,11,2,4,13,11,4
"43617","Olfr1321",1,2,5,4,0,6,5,0
"43618","Olfr1322",9,4,6,2,3,4,1,0
"43619","Olfr1323",5,5,10,4,17,14,4,0
"43620","Olfr1324",6,7,16,6,30,13,6,2
"43621","Olfr1325",0,0,2,2,6,3,1,0
"43622","Olfr1326-ps1",0,6,3,0,3,11,1,0
"43623","Olfr1327-ps1",0,0,0,0,3,0,4,0
"43624","Olfr1328",12,16,19,17,35,32,20,4
"43625","Olfr1329",0,2,1,4,6,4,11,0
"43626","Olfr133",5,9,11,4,19,15,4,7
"43627","Olfr1330",10,6,25,10,19,12,24,0
"43628","Olfr1331",20,3,15,12,13,30,22,2
"43629","Olfr1332-ps1",0,2,3,0,2,4,0,0
"43630","Olfr1333",8,5,8,7,8,15,5,6
"43631","Olfr1335",2,9,3,2,9,10,0,3
"43632","Olfr1336",14,16,24,13,43,43,22,12
"43633","Olfr1337",0,4,1,0,11,9,2,1
"43634","Olfr1338",6,14,16,4,23,15,7,0
"43635","Olfr1339",7,0,2,4,10,5,4,0
"43636","Olfr134",16,7,10,10,10,7,9,0
"43637","Olfr1340",6,0,15,8,14,11,8,3
"43638","Olfr1341",0,14,16,8,25,9,12,2
"43639","Olfr1342",11,9,8,4,20,22,7,2
"43640","Olfr1343-ps1",0,0,7,2,3,1,10,0
"43641","Olfr1344",0,1,7,0,3,3,2,0
"43642","Olfr1345-ps1",0,4,1,1,5,4,5,1
"43643","Olfr1346",20,6,12,9,23,14,5,2
"43644","Olfr1347",3,0,11,0,5,1,3,1
"43645","Olfr1348",0,6,6,6,14,6,6,0
"43646","Olfr1349",9,11,7,3,11,24,10,4
"43647","Olfr135",19,3,6,1,19,8,11,4
"43648","Olfr1350",4,3,4,5,8,8,6,0
"43649","Olfr1351",4,5,4,19,12,5,14,2
"43650","Olfr1352",16,15,21,8,16,29,35,5
"43651","Olfr1353",5,6,15,10,22,29,29,4
"43652","Olfr1354",10,7,17,6,24,14,10,4
"43653","Olfr1355",9,4,5,12,18,9,5,0
"43654","Olfr1356",13,8,0,10,13,14,5,1
"43655","Olfr1357",2,9,4,13,14,7,6,0
"43656","Olfr1358",0,3,3,0,4,1,0,0
"43657","Olfr1359",10,1,14,4,21,20,15,6
"43658","Olfr136",17,15,51,26,47,25,28,7
"43659","Olfr1360",6,5,18,10,9,12,11,0
"43660","Olfr1361",2,1,4,2,9,5,4,5
"43661","Olfr1362",1,4,3,10,10,11,12,3
"43662","Olfr1364",12,6,3,2,11,22,6,7
"43663","Olfr1366",10,13,20,28,15,24,20,3
"43664","Olfr1367",5,0,0,3,2,6,2,0
"43665","Olfr1368",0,7,8,10,15,13,2,3
"43666","Olfr1369-ps1",9,8,20,15,12,5,11,3
"43667","Olfr137",0,3,13,5,5,2,4,1
"43668","Olfr1370",13,5,10,16,28,19,24,10
"43669","Olfr1371",1,0,2,7,3,9,0,1
"43670","Olfr1372-ps1",25,27,14,18,46,24,23,10
"43671","Olfr1373",0,1,8,2,8,1,3,0
"43672","Olfr1374-ps1",0,2,4,2,3,0,0,0
"43673","Olfr1375",0,11,1,0,5,1,1,0
"43674","Olfr1376-ps1",0,0,2,5,2,5,3,0
"43675","Olfr1377",9,4,5,10,19,6,12,3
"43676","Olfr1378",7,11,15,27,23,21,9,0
"43677","Olfr1379-ps1",0,6,1,1,4,5,16,0
"43678","Olfr138",11,10,15,2,20,15,16,4
"43679","Olfr1380",7,7,5,2,5,5,3,0
"43680","Olfr1381",36,8,16,8,20,17,16,2
"43681","Olfr1382",12,7,32,14,20,41,22,7
"43682","Olfr1383",3,4,13,16,14,28,14,2
"43683","Olfr1384",26,8,11,13,35,12,15,2
"43684","Olfr1385",12,7,22,1,25,26,30,0
"43685","Olfr1386",11,14,13,16,13,14,10,0
"43686","Olfr1387",12,15,7,11,15,11,4,1
"43687","Olfr1388",3,4,10,13,11,8,9,3
"43688","Olfr1389",22,23,20,10,9,12,21,1
"43689","Olfr139",4,16,4,6,20,9,9,3
"43690","Olfr1390",14,2,14,15,7,7,20,4
"43691","Olfr1391",5,13,26,11,17,20,23,1
"43692","Olfr1392",6,6,7,18,17,6,5,0
"43693","Olfr1393",13,14,11,10,13,25,28,6
"43694","Olfr1394",5,2,10,4,14,17,7,1
"43695","Olfr1395",22,2,13,0,4,6,6,0
"43696","Olfr1396",3,6,5,4,0,1,3,4
"43697","Olfr1397-ps1",4,3,0,2,3,4,0,0
"43698","Olfr1398-ps1",0,0,1,1,1,4,4,0
"43699","Olfr140",4,7,8,8,12,17,5,1
"43700","Olfr1401-ps1",2,0,2,0,5,0,0,0
"43701","Olfr1402",0,3,13,6,13,8,9,0
"43702","Olfr1404",26,10,25,21,34,32,24,2
"43703","Olfr1406",24,6,26,24,40,39,27,7
"43704","Olfr1407-ps1",1,0,1,1,0,1,3,0
"43705","Olfr1408",6,7,12,21,34,21,11,3
"43706","Olfr1409-ps1",5,5,2,3,7,4,2,4
"43707","Olfr141",1,3,16,8,8,19,8,5
"43708","Olfr1410",14,6,11,3,11,18,11,0
"43709","Olfr1411",2,5,6,9,12,13,17,4
"43710","Olfr1412",8,13,21,11,29,15,9,1
"43711","Olfr1413",1,0,2,6,5,6,0,3
"43712","Olfr1414",6,3,10,17,31,37,21,3
"43713","Olfr1415",7,6,17,12,23,15,11,0
"43714","Olfr1416",2,8,11,5,17,8,8,1
"43715","Olfr1417",23,6,13,7,20,11,7,2
"43716","Olfr1418",23,2,14,6,25,42,28,0
"43717","Olfr1419",0,5,13,2,13,11,4,0
"43718","Olfr142",32,9,17,22,11,15,9,6
"43719","Olfr1420",13,4,5,6,8,7,13,3
"43720","Olfr1421-ps1",2,0,0,0,0,1,0,0
"43721","Olfr1422-ps1",1,0,0,0,0,4,7,0
"43722","Olfr1423",14,2,14,6,23,32,12,1
"43723","Olfr1424",0,0,1,2,8,5,6,0
"43724","Olfr1425",2,1,4,0,14,8,2,1
"43725","Olfr1426",2,5,10,4,18,7,2,2
"43726","Olfr1427",5,4,18,12,16,21,20,2
"43727","Olfr1428",7,8,10,1,13,7,6,1
