"","gene","O20_384Bulk_Plate2_S356.gencode.vM19","P11_384Bulk_Plate2_S371.gencode.vM19","K9_384Bulk_Plate2_S249.gencode.vM19","I13_384Bulk_Plate2_S205.gencode.vM19","F11_384Bulk_Plate1_S131.gencode.vM19","G3_384Bulk_Plate1_S147.gencode.vM19","G8_384Bulk_Plate2_S152.gencode.vM19","C19_384Bulk_Plate2_S67.gencode.vM19"
"5097","Bcat2",1565,1722,1101,1630,1187,863,1161,914
"5098","Bccip",390,468,381,413,376,283,356,302
"5099","Bcdin3d",104,88,35,44,46,44,55,23
"5100","Bche",242,168,195,213,285,250,271,145
"5101","Bckdha",2024,1702,1463,1828,1796,1123,1584,1332
"5102","Bckdhb",677,673,515,750,545,457,619,366
"5103","Bckdk",2143,2178,1627,2355,1727,1446,1681,1206
"5104","Bcl10",273,281,212,262,200,175,217,166
"5105","Bcl11a",82,90,55,112,80,90,80,24
"5106","Bcl11b",25,44,81,77,45,53,69,6
"5107","Bcl2",254,251,218,159,226,162,229,183
"5108","Bcl2a1a",8,0,11,1,0,15,14,1
"5109","Bcl2a1b",4,0,13,6,8,2,16,2
"5110","Bcl2a1c",3,0,3,1,0,4,0,0
"5111","Bcl2a1d",4,7,2,2,0,4,1,8
"5112","Bcl2l1",1217,824,546,1042,743,595,687,741
"5113","Bcl2l10",1,0,0,0,4,2,2,1
"5114","Bcl2l11",369,264,220,381,158,267,230,139
"5115","Bcl2l12",52,52,67,72,71,70,73,53
"5116","Bcl2l13",1461,1116,1028,1325,976,889,1138,853
"5117","Bcl2l14",3,8,8,3,7,18,5,0
"5118","Bcl2l15",12,0,4,2,10,11,5,14
"5119","Bcl2l2",109,103,65,121,90,86,66,67
"5120","Bcl3",46,129,68,90,67,91,127,100
"5121","Bcl6",159,143,90,227,116,123,133,79
"5122","Bcl6b",305,323,258,247,214,361,335,254
"5123","Bcl7a",234,210,143,200,125,194,231,135
"5124","Bcl7b",479,556,455,623,436,376,486,387
"5125","Bcl7c",186,246,148,180,188,136,175,144
"5126","Bcl9",312,233,202,281,250,227,227,183
"5127","Bcl9l",570,374,372,458,326,296,404,305
"5128","Bclaf1",1020,828,1002,855,928,751,813,686
"5129","Bclaf3",75,49,68,84,53,52,72,61
"5130","Bco1",2,11,9,0,10,8,8,1
"5131","Bco2",11,20,6,11,14,19,12,8
"5132","Bcor",235,237,215,217,168,160,252,179
"5133","Bcorl1",112,101,94,65,92,104,67,91
"5134","Bcr",163,69,55,128,84,70,102,68
"5135","Bcs1l",362,409,248,397,275,243,307,192
"5136","Bdh1",762,910,810,952,2156,181,2411,1656
"5137","Bdh2",32,9,28,18,12,14,26,7
"5138","Bdkrb1",6,1,3,0,3,2,0,1
"5139","Bdkrb2",5,11,7,12,6,8,14,11
"5140","Bdnf",191,121,155,132,82,111,144,130
